Name;Codigo;Codigo Decimal;Comentarios;Descripcion Corta;System;Nivel
Fuga de aire;0x4100;16640;;BENJA;Air;Nivel 3
Temperatura Compresor;0x4101;16641;;BENJA;Air;Nivel 3
Falla motor Compresor;0x4102;16642;;BENJA;Air;Nivel 3
Presion Baja;0x4103;16643;;BENJA;Air;Nivel 2
Presión Críticamente Baja;0x4104;16644;;BENJA;Air;Nivel 7
Error compresor;0x4105;16645;;BENJA;Air;Nivel 3
Compresor Temp sensor;0x4106;16646;;BENJA;Air;Nivel 3
Batterias CAN;0x4200;16896;;BENJA;Battery;Nivel 11
Baterías en Falla CATL;0x4201;16897;;BENJA;Battery;Nivel 7
Battery Catastrofic Failure CATL;0x4202;16898;;BENJA;Battery;Nivel 13
Sobre Temperatura Baterías;0x4203;16899;;BENJA;Battery;Nivel 7
Rutina de carga;0x4204;16900;;BENJA;Battery;Nivel 8
Liquido Ref. BTMS;0x4205;16901;Refrigerante Baterias bajo;BENJA;Battery;Nivel 4
BTMS en Falla;0x4206;16902;;BENJA;Battery;Nivel 1
SOC Alto;0x4207;16903;;BENJA;Battery;Nivel 4
SOC Bajo;0x4208;16904;;BENJA;Battery;Nivel 4
SOC Critico;0x4209;16905;;BENJA;Battery;Nivel 7
Aislación Neg. Baja;0x420A;16906;;BENJA;Battery;Nivel 1
Aislación Pos. Baja;0x420B;16907;;BENJA;Battery;Nivel 1
Aislación Neg. Critica;0x420C;16908;;BENJA;Battery;Nivel 3
Aislación Pos. Critica;0x420D;16909;;BENJA;Battery;Nivel 3
Sobre Temperatra Baterias;0x420E;16910;;BENJA;Battery;Nivel 4
Baterías en alerta CATL;0x420F;16911;;BENJA;Battery;Nivel 3
BTMS MQ T15 error;0x4210;16912;;BENJA;Battery;Nivel 1
BTMS MQ Precharge;0x4211;16913;;BENJA;Battery;Nivel 1
BTMS MQ Fault;0x4212;16914;;BENJA;Battery;Nivel 1
BTMS MQ Shutdown TO;0x4213;16915;;BENJA;Battery;Nivel 1
BTMS MQ PowerOff TO;0x4214;16916;;BENJA;Battery;Nivel 1
BTMS MQ CAN Send;0x4215;16917;;BENJA;Battery;Nivel 1
BTMS MQ Undefined;0x4216;16918;;BENJA;Battery;Nivel 1
BTMS MQ Undefined;0x4217;16919;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4218;16920;;BENJA;Battery;Nivel 1
BTMS en Falla - PTC level 1 failure;0x4219;16921;;BENJA;Battery;Nivel 1
BTMS en Falla - Single PTC level 2 fault;0x4220;16928;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4221;16929;;BENJA;Battery;Nivel 1
BTMS en Falla - PTC level 1 failure;0x4222;16930;;BENJA;Battery;Nivel 1
BTMS en Falla - Single PTC level 2 fault;0x4223;16931;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4224;16932;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4225;16933;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4226;16934;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4227;16935;;BENJA;Battery;Nivel 1
BTMS en Falla - PTC level 1 failure;0x4228;16936;;BENJA;Battery;Nivel 1
BTMS en Falla - Single PTC level 2 fault;0x4229;16937;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4230;16944;;BENJA;Battery;Nivel 1
BTMS en Falla - PTC level 1 failure;0x4231;16945;;BENJA;Battery;Nivel 1
BTMS en Falla - Single PTC level 2 fault;0x4232;16946;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4233;16947;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4234;16948;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4235;16949;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4236;16950;;BENJA;Battery;Nivel 1
BTMS en Falla - Compressor level 2 fault;0x4237;16951;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4238;16952;;BENJA;Battery;Nivel 1
BTMS en Falla - Fan level 2 fault;0x4239;16953;;BENJA;Battery;Nivel 1
BTMS en Falla - High pressure sensor level 2 fault;0x4240;16960;;BENJA;Battery;Nivel 1
BTMS en Falla - Low pressure sensor level 3 fault;0x4241;16961;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4242;16962;;BENJA;Battery;Nivel 1
BTMS en Falla - BTMS outlet temperature sensor level 2 fault;0x4243;16963;;BENJA;Battery;Nivel 1
BTMS en Falla - Reserved;0x4244;16964;;BENJA;Battery;Nivel 1
BTMS en Falla - Water pump;0x4245;16965;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4246;16966;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4247;16967;;BENJA;Battery;Nivel 1
BTMS en Falla - Water level sensor level 2 fault;0x4248;16968;;BENJA;Battery;Nivel 1
BTMS en Falla - PTC water temperature sensor level 2 fault;0x4249;16969;;BENJA;Battery;Nivel 1
BTMS en Falla - High voltage precharge 1 level fault;0x4250;16976;;BENJA;Battery;Nivel 1
BTMS en Falla - K2 relay level 1 fault;0x4251;16977;;BENJA;Battery;Nivel 1
BTMS en Falla - DCDC level 1 fault;0x4252;16978;;BENJA;Battery;Nivel 1
BTMS en Falla - Slave unit 1 level 1 fault;0x4253;16979;;BENJA;Battery;Nivel 1
BTMS en Falla - Slave unit 2 level 2 fault;0x4254;16980;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4255;16981;;BENJA;Battery;Nivel 1
BTMS en Falla - Lost communication from unit 1 level 1 fault;0x4256;16982;;BENJA;Battery;Nivel 1
BTMS en Falla - Slave unit 2 level 1 fault;0x4257;16983;;BENJA;Battery;Nivel 1
BTMS en Falla - Slave unit 2 level 2 fault;0x4258;16984;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4259;16985;;BENJA;Battery;Nivel 1
BTMS en Falla - Lost communication from unit 2 level 1 fault;0x4260;16992;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4261;16993;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4262;16994;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4263;16995;;BENJA;Battery;Nivel 1
BTMS en Falla - undefined;0x4264;16996;;BENJA;Battery;Nivel 1
BTMS en Falla - Low voltage power supply level 2 fault;0x4265;16997;;BENJA;Battery;Nivel 1
BTMS en Falla - BMS and TMS CAN communication is abnormal;0x4266;16998;;BENJA;Battery;Nivel 1
BTMS en Falla - High voltage total loop contactor level 1 fault;0x4267;16999;;BENJA;Battery;Nivel 1
BTMS en Falla - Exhaust gas temperature level 2 fault;0x4268;17000;;BENJA;Battery;Nivel 1
BTMS en Falla - DCDC Level 2 Fault;0x4269;17001;;BENJA;Battery;Nivel 1
Dirección CAN;0x4400;17408;;BENJA;Steering;Nivel 7
Dirección en Falla ;0x4401;17409;;BENJA;Steering;Nivel 7
Bomba Cal. CAN;0x4800;18432;;BENJA;Heating;Nivel 1
Bomba de Ref. Calefa en Falla;0x4801;18433;;BENJA;Heating;Nivel 1
Liquido Ref. Calefacción;0x4802;18434;Liquido calefaccion bajo;BENJA;Heating;Nivel 1
PTC 1 CAN;0x4803;18435;;BENJA;Heating;Nivel 1
