SysFile Entry Id;SysFile Entry (Description);Corrective action
0x0000;Info - SysFile 0x00 - SysFile cleared | (The system file was cleared);( | ANA | ) No action related
0x0001;Warning - SysFile 0x01 - Section size has been changed | (SysFile section size has been changed from previous software version);( | ANA | ) No action related
0x0002;Warning - SysFile 0x02 - Data has not been read | (Data has not been read from non-volatile memory);( | ANA | ) No action related
0x0003;Warning - SysFile 0x03 | (Warning related to the SysFile);( | ANA | ) No action related
0x0004;Info - SysFile 0x04 - Data has been reset manually | (The SysFile data has been reset manually);( | ANA | ) No action related
0x0005;Warning - SysFile 0x05 | (Warning related to the SysFile);( | ANA | ) No action related
0x0006;Warning - SysFile 0x06 | (Warning related to the SysFile);( | ANA | ) No action related
0x0007;Warning - SysFile 0x07 | (Warning related to the SysFile);( | ANA | ) No action related
0x0008;Warning - SysFile 0x08 | (Warning related to the SysFile);( | ANA | ) No action related
0x0009;Warning - SysFile 0x09 | (Warning related to the SysFile);( | ANA | ) No action related
0x000A;Warning - SysFile 0x0A | (Warning related to the SysFile);( | ANA | ) No action related
0x000B;Warning - SysFile 0x0B | (Warning related to the SysFile);( | ANA | ) No action related
0x0300;Warning - Board 0x00 | (Warning related to the Board);( | ANA | ) No action related
0x0301;Warning - Board 0x01 | (Warning related to the Board);( | ANA | ) No action related
0x0302;Warning - Board 0x02 | (Warning related to the Board);( | ANA | ) No action related
0x0303;Warning - Board 0x03 | (Warning related to the Board);( | ANA | ) No action related
0x0304;Warning - Board 0x04 | (Warning related to the Board);( | ANA | ) No action related
0x0305;Warning - Board 0x05 | (Warning related to the Board);( | ANA | ) No action related
0x0306;Warning - Board 0x06 | (Warning related to the Board);( | ANA | ) No action related
0x0307;Warning - Board 0x07 | (Warning related to the Board);( | ANA | ) No action related
0x0308;Warning - Board 0x08 | (Warning related to the Board);( | ANA | ) No action related
0x0309;Warning - Board 0x09 | (Warning related to the Board);( | ANA | ) No action related
0x030A;Warning - Board 0x0A | (Warning related to the Board);( | ANA | ) No action related
0x030B;Warning - Board 0x0B | (Warning related to the Board);( | ANA | ) No action related
0x030C;Warning - Board 0x0C | (Warning related to the Board);( | ANA | ) No action related
0x030D;Warning - Board 0x0D | (Warning related to the Board);( | ANA | ) No action related
0x030E;Warning - Board 0x0E | (Warning related to the Board);( | ANA | ) No action related
0x030F;Warning - Board 0x0F | (Warning related to the Board);( | ANA | ) No action related
0x0310;Warning - Board 0x10 - Current sensors calibration failed | (Current sensors calibration failed (reference too far from the readings));( | ANA | ) No action related
0x0311;Warning - Board 0x11 - High voltage sensor calibration failed | (High voltage sensor calibration failed (reference too far from the readings));( | ANA | ) No action related
0x0312;Error - Board 0x12 - Incompatibility between software and hardware | (Error related to the Board);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x0313;Warning - Board 0x13 - VAUX too low | (Warning Vaux to low.);( | ANA | ) No action related
0x0314;Warning - Board 0x14 - VAUX too high | (Warning Vaux too high);( | ANA | ) No action related
0x0315;Warning - Board 0x15 motor temp sensor shorted to -Vaux | (Warning motor temperature sensor has been shorted to -Vaux.);( | ACB1 | ) Verify/change the motor sensor/VMU interface harness between inverter and the machine | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x0316;Warning - Board 0x16 motor temp sensor open or shorted to +Vaux | (Warning motor temperature sensor has been disconnected or shorted to +Vaux.);( | ACB1 | ) Verify/change the motor sensor/VMU interface harness between inverter and the machine | ( | AIN1 | ) Change inverter unit | ( | AMA1 | ) Change machine unit
0x0317;Error - Board 0x17 | (Error related to the Board.);( | ANA | ) No action related
0x0318;Error - Board 0x18 | (Error related to the Board.);( | ANA | ) No action related
0x0319;Error - Board 0x19 - Abnormal battery current condition as not operational | (Abnormal battery current condition as not operational);( | ANA | ) No action related
0x0500;Info - Sequencer 0x00 - System reset occurred | (A manual or software reset of the system occurred);( | ANA | ) No action related
0x0501;Error - Sequencer 0x01 | (Error related to the Sequencer module);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x0502;Error - Sequencer 0x02 | (Error related to the Sequencer module);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x0503;Error - Sequencer 0x03 | (Error related to the Sequencer module);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x0504;Error - Sequencer 0x04 - Initialisation timed out | (Initialisation of motor control timed out);( | ANA | ) No action related
0x0505;Error - Sequencer 0x05 - Invalid traction state | (Invalid Traction Control state);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x0506;Error - Sequencer 0x06 - Motor control in wrong state | (Motor control is no longer in standby state);( | ANA | ) No action related
0x0507;Error - Sequencer 0x07 - Activation failed | (Traction control activation sequence failed);( | ANA | ) No action related
0x0508;Error - Sequencer 0x8 - Activation timed out | (Traction control activation sequence timed out);( | ANA | ) No action related
0x0509;Error - Sequencer 0x09 - Motor control in wrong state | (Wrong Motor control state for operational neutral);( | ANA | ) No action related
0x050A;Error - Sequencer 0x0A - Motor control in wrong state | (Wrong Motor control state for operational EV);( | ANA | ) No action related
0x050B;Error - Sequencer 0x0B - Deactivation failed | (Traction control deactivation sequence failed);( | ANA | ) No action related
0x050C;Error - Sequencer 0x0C - Deactivation timed out | (Traction control deactivation sequence timed out);( | ANA | ) No action related
0x050D;Error - Sequencer 0x0D - System error | (An error occured in the system and the system control stopped);( | ANA | ) No action related
0x050E;Error - Sequencer 0x0E | (Error related to the Sequencer module);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x050F;Error - Sequencer 0x0F - Calibration failed | (The calibration sequence failed);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x0510;Warning - Sequencer 0x1A - Save SAV data timed out | (Shutdown save savinfo sequence timed out);( | ANA | ) No action related
0x0511;Warning - Sequencer 0x11 - Save SAV data failed | (Shutdown save savinfo sequence failed);( | ANA | ) No action related
0x0512;Warning - Sequencer 0x12 | (Warning related to the Sequencer module);( | ANA | ) No action related
0x0513;Warning - Sequencer 0x13 - Save SYSFILE timed out | (Shutdown save sysfile sequence timed out);( | ANA | ) No action related
0x0514;Warning - Sequencer 0x14 - Save SYSFILE failed | (Shutdown save sysfile sequence failed);( | ANA | ) No action related
0x0515;Warning - Sequencer 0x15 - Periodic SAV saving timed out | (Periodic save of MCU savinfo timed out);( | ANA | ) No action related
0x0516;Warning - Sequencer 0x16 | (Warning related to the Sequencer module);( | ANA | ) No action related
0x0517;Warning - Sequencer 0x17 - Periodic SAV saving failed | (Periodic save of MCU savinfo failed);( | ANA | ) No action related
0x0518;Warning - Sequencer 0x18 | (Warning related to the Sequencer module);( | ANA | ) No action related
0x0519;Warning - Sequencer 0x19 - Invalid periodic saving state | (Invalid Sav Periodic Save state);( | ANA | ) No action related
0x051A;Warning - Sequencer 0x1A - CAN shutdown command not received in time | (Did not receive the CAN shutdown command before timeout);( | ANA | ) No action related
0x051B;Error - Sequencer 0x1B - System reset failed | (Reset of system failed);( | ACS1 | ) Update inverter software | ( | AIN1 | ) Change inverter unit
0x051C;Error - Sequencer 0x1C - Motor control in wrong state | (Wrong Motor control state for operational GEN);( | ANA | ) No action related
0x051D;Info - Sequencer 0x1D - System shutting down | (System shutting down);( | ANA | ) No action related
0x051E;Warning - Sequencer 0x1E - Timeout discharging battery at shutdown | (Unable to discharge battery at shutdown);( | ANA | ) No action related
0x051F;Info - Sequencer 0x1F - System going into ready to power off state | (System going into ready to power off state);( | ANA | ) No action related
