input_value,return_value
2.8,0.0
2.843,0.556
2.885,1.111
2.928,1.667
2.971,2.222
3.013,2.778
3.056,3.333
3.099,3.889
3.141,4.444
3.184,5.0
3.184,5.0
3.186,5.556
3.188,6.111
3.191,6.667
3.193,7.222
3.195,7.778
3.197,8.333
3.2,8.889
3.202,9.444
3.204,10.0
3.204,10.0
3.207,10.556
3.21,11.111
3.212,11.667
3.215,12.222
3.218,12.778
3.221,13.333
3.223,13.889
3.226,14.444
3.229,15.0
3.229,15.0
3.232,15.556
3.234,16.111
3.237,16.667
3.24,17.222
3.242,17.778
3.245,18.333
3.248,18.889
3.25,19.444
3.253,20.0
3.253,20.0
3.255,20.556
3.257,21.111
3.259,21.667
3.261,22.222
3.262,22.778
3.264,23.333
3.266,23.889
3.268,24.444
3.27,25.0
3.27,25.0
3.272,25.556
3.274,26.111
3.275,26.667
3.277,27.222
3.279,27.778
3.281,28.333
3.282,28.889
3.284,29.444
3.286,30.0
3.286,30.0
3.286,30.556
3.286,31.111
3.287,33.333
3.287,32.778
3.287,31.667
3.287,32.222
3.288,42.222
3.288,41.667
3.288,41.111
3.288,40.556
3.288,40.0
3.288,40.0
3.288,39.444
3.288,38.889
3.288,38.333
3.288,37.222
3.288,33.889
3.288,34.444
3.288,35.0
3.288,37.778
3.288,35.556
3.288,36.111
3.288,36.667
3.288,35.0
3.289,47.222
3.289,46.667
3.289,46.111
3.289,45.0
3.289,45.556
3.289,43.889
3.289,43.333
3.289,42.778
3.289,45.0
3.289,44.444
3.29,50.0
3.29,47.778
3.29,48.333
3.29,48.889
3.29,49.444
3.29,50.0
3.291,50.556
3.292,51.111
3.293,51.667
3.294,52.222
3.294,52.778
3.295,53.333
3.296,53.889
3.297,54.444
3.298,55.0
3.298,55.0
3.301,55.556
3.304,56.111
3.308,56.667
3.311,57.222
3.314,57.778
3.317,58.333
3.321,58.889
3.324,59.444
3.327,60.0
3.327,60.556
3.327,61.111
3.327,61.667
3.327,62.222
3.327,60.0
3.328,68.889
3.328,72.222
3.328,71.667
3.328,71.111
3.328,70.556
3.328,70.0
3.328,70.0
3.328,69.444
3.328,68.333
3.328,62.778
3.328,67.222
3.328,66.667
3.328,66.111
3.328,65.556
3.328,65.0
3.328,65.0
3.328,64.444
3.328,63.889
3.328,63.333
3.328,67.778
3.329,77.222
3.329,76.667
3.329,76.111
3.329,75.0
3.329,75.556
3.329,74.444
3.329,73.889
3.329,73.333
3.329,72.778
3.329,75.0
3.33,81.667
3.33,81.111
3.33,80.556
3.33,80.0
3.33,82.222
3.33,79.444
3.33,78.889
3.33,78.333
3.33,77.778
3.33,80.0
3.331,87.222
3.331,86.667
3.331,86.111
3.331,85.556
3.331,85.0
3.331,84.444
3.331,83.889
3.331,83.333
3.331,82.778
3.331,85.0
3.332,90.556
3.332,91.111
3.332,90.0
3.332,87.778
3.332,89.444
3.332,88.889
3.332,88.333
3.332,90.0
3.333,91.667
3.333,92.222
3.333,92.778
3.333,93.333
3.334,95.0
3.334,95.0
3.334,93.889
3.334,94.444
3.349,95.556
3.363,96.111
3.378,96.667
3.393,97.222
3.407,97.778
3.422,98.333
3.437,98.889
3.451,99.444
3.466,100.0
